trackName,msPlayed,duration_ms,hoursPlayed,Percentage_Listened
#1 Freak (feat. Ty Dolla $ign),1255018,1659312,0.35,0.76
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),159753,290836,0.04,0.55
1 0 0 . m i l ‘ (with Bas),26480,163302,0.01,0.16
1-800-273-8255,176348,500346,0.05,0.35
10 F*CKS (with Mansa),1014535,1188341,0.28,0.85
10 Freaky Girls (with 21 Savage),925846,1041465,0.26,0.89
10 TIMES,158493,158493,0.04,1.0
100 Racks (Offset feat. Playboi Carti),157645,157645,0.04,1.0
100 Years,31207,244600,0.01,0.13
151 Rum,562417,940170,0.16,0.6
16,14313219,18256680,3.98,0.78
19,975195,1219070,0.27,0.8
1942 (feat. Yo Gotti & YBN Nahmir),727406,852320,0.2,0.85
1985,66795,193000,0.02,0.35
1995,159056,159057,0.04,1.0
1999 WILDFIRE,1005000,1005000,0.28,1.0
2 On (feat. ScHoolboy Q),14817,227000,0.0,0.07
20 Min,225299,441174,0.06,0.51
2006,8777,224689,0.0,0.04
21,2260063,3246207,0.63,0.7
21 Questions,1092844,1346562,0.3,0.81
23,179258,181613,0.05,0.99
24 Hours (feat. 2 Chainz),2530,215720,0.0,0.01
24K Magic,678775,903932,0.19,0.75
25k jacket (feat. Lil Baby),1784235,2160000,0.5,0.83
2AM.,462955,712959,0.13,0.65
3 Nights,177666,177667,0.05,1.0
3 Rounds and a Sound,431104,800880,0.12,0.54
3 Vets,354632,526140,0.1,0.67
"30,000 ft",454204,473622,0.13,0.96
3AM,3952689,6016440,1.1,0.66
4 Da Gang (with Roddy Ricch),197798,311440,0.05,0.64
4 Willem,1411335,2376297,0.39,0.59
5 shots,181709,181710,0.05,1.0
5:32pm,224865,273828,0.06,0.82
6 Foot 7 Foot,3456245,7457610,0.96,0.46
679,456774,466128,0.13,0.98
679 (feat. Remy Boyz),196693,393386,0.05,0.5
745,305778,682680,0.08,0.45
92 Explorer,3581801,5074248,0.99,0.71
A Fleeting Dream,847318,1587438,0.24,0.53
A Milli,221813,221840,0.06,1.0
A Sky Full of Stars,267866,267867,0.07,1.0
A Thousand Miles,237493,237493,0.07,1.0
A Thousand Times,21449,237244,0.01,0.09
A Thousand Years,145844,275973,0.04,0.53
A-Team,176640,176640,0.05,1.0
ABC,189409,532281,0.05,0.36
ASAP,1062259,1706478,0.3,0.62
ASTROTHUNDER,1926178,2001566,0.54,0.96
About You,14511698,21068300,4.03,0.69
About the Money (feat. Young Thug),1272127,1890840,0.35,0.67
Actin' Up (feat. Dom Kennedy),253073,718761,0.07,0.35
Actions,176466,176467,0.05,1.0
Addison Rae,521441,1145018,0.14,0.46
Adrenaline,206368,206368,0.06,1.0
Affection,234990,234990,0.07,1.0
Africa,541389,591786,0.15,0.91
After Party,82853,335832,0.02,0.25
Again,565686,1561200,0.16,0.36
Agape,2223683,3339307,0.62,0.67
Ain't It Fun,296520,296520,0.08,1.0
Ain't My Fault - R3hab Remix,158772,158773,0.04,1.0
Ain't No Thang,463402,463404,0.13,1.0
Ain’t Safe (feat. Don Toliver),1135807,1998180,0.32,0.57
Alive (with Offset & 2 Chainz),3775405,6605116,1.05,0.57
