,artistName,msPlayed,minPlayed,hourPlayed
204,Blxst,126752102,2112.5350333333336,35.208917222222226
1284,Pop Smoke,64160255,1069.3375833333334,17.82229305555556
1773,YG,50829935,847.1655833333333,14.119426388888888
606,Gunna,49893122,831.5520333333334,13.859200555555557
928,Lil Baby,46159437,769.32395,12.822065833333333
1286,Post Malone,43685127,728.08545,12.134757500000001
823,Kanye West,43217601,720.29335,12.004889166666667
1385,SAINt JHN,39139679,652.3279833333333,10.872133055555556
1369,Roddy Ricch,35604906,593.4151,9.890251666666668
1349,Rexx Life Raj,32986370,549.7728333333333,9.162880555555555
571,Future,32843400,547.39,9.123166666666666
1666,Tory Lanez,30731193,512.18655,8.5364425
333,Cordae,27683901,461.39835,7.6899725
1650,Tom Misch,26863505,447.7250833333333,7.4620847222222215
1520,Surfaces,26461316,441.0219333333333,7.350365555555555
943,Lil Tecca,23854684,397.57806666666664,6.62630111111111
132,Baby Keem,23578318,392.9719666666667,6.549532777777778
443,Drake,23180638,386.3439666666667,6.439066111111112
1156,Nic D,23065935,384.43225,6.407204166666667
880,Kota the Friend,22959264,382.6544,6.377573333333333
1067,Meek Mill,21821493,363.69155,6.0615258333333335
268,Calvin Harris,21645690,360.7615,6.012691666666667
1533,T-Pain,21234656,353.91093333333333,5.898515555555556
237,Bruno Mars,21168238,352.80396666666667,5.880066111111111
1803,Young Thug,20959772,349.32953333333336,5.8221588888888895
767,John Mayer,20956477,349.27461666666665,5.821243611111111
1124,NAV,20058120,334.302,5.571700000000001
1072,Metro Boomin,18967558,316.12596666666667,5.268766111111111
1806,YoungBoy Never Broke Again,18646615,310.7769166666667,5.179615277777779
1689,Ty Dolla $ign,17537530,292.2921666666667,4.871536111111111
839,Kendrick Lamar,17186566,286.44276666666667,4.774046111111111
1378,Russ,16262508,271.0418,4.517363333333334
1052,Masego,15885143,264.75238333333334,4.412539722222222
1106,Mozzy,15091478,251.52463333333333,4.192077222222222
1119,Mustard,14764817,246.08028333333334,4.101338055555556
9,2 Chainz,13572022,226.20036666666667,3.770006111111111
946,Lil Uzi Vert,13145797,219.09661666666668,3.651610277777778
85,Anderson .Paak,13072015,217.86691666666667,3.631115277777778
665,Internet Money,12421294,207.02156666666667,3.4503594444444445
307,Chris Brown,12264806,204.41343333333333,3.4068905555555555
1273,Playboi Carti,12149039,202.48398333333333,3.3747330555555553
541,Flipp Dinero,12029038,200.48396666666667,3.3413994444444444
1467,Skizzy Mars,11938770,198.9795,3.316325
448,Dua Lipa,11685165,194.75275,3.2458791666666666
1706,VIC MENSA,11671637,194.52728333333334,3.242121388888889
1271,Pivot Gang,11595530,193.25883333333334,3.2209805555555557
1288,Preme,11510369,191.83948333333333,3.197324722222222
1308,Quinn XCII,11048969,184.14948333333334,3.0691580555555555
1073,Michael Jackson,11039956,183.99926666666667,3.0666544444444446
947,Lil Wayne,10964316,182.7386,3.045643333333333
812,KYLE,10939673,182.32788333333335,3.0387980555555556
1872,mike.,10378618,172.97696666666667,2.8829494444444443
54,Ace Hood,10213253,170.22088333333335,2.8370147222222224
862,Kid Travis,10192804,169.88006666666666,2.8313344444444444
966,Lonr.,9894776,164.91293333333334,2.748548888888889
697,Jacquees,9578089,159.63481666666667,2.6605802777777776
1443,Shordie Shordie,9460952,157.68253333333334,2.628042222222222
1721,Vince Staples,9457037,157.61728333333335,2.6269547222222225
759,Joey Fatts,9424614,157.0769,2.617948333333333
36,A$AP Rocky,9215974,153.59956666666668,2.559992777777778
1736,Wale,9124453,152.07421666666667,2.5345702777777777
380,Daniel Caesar,9104630,151.74383333333333,2.529063888888889
371,DaBaby,8591059,143.18431666666666,2.3864052777777776
604,Guapdad 4000,8436028,140.60046666666668,2.343341111111111
1685,Twenty One Pilots,8138737,135.64561666666665,2.2607602777777775
536,Fivio Foreign,7920447,132.00745,2.200124166666667
489,Emotional Oranges,7901504,131.69173333333333,2.194862222222222
488,Eminem,7737872,128.96453333333332,2.1494088888888885
1801,Young Stoner Life,7594085,126.56808333333333,2.1094680555555554
240,Bslime,7587291,126.45485,2.107580833333333
1735,Waka Flocka Flame,7520073,125.33455,2.0889091666666664
1540,TED Talks Daily,7366841,122.78068333333333,2.046344722222222
149,BandoPop,7273297,121.22161666666666,2.020360277777778
1690,Tyga,7192777,119.87961666666666,1.997993611111111
1901,Øneheart,7182666,119.7111,1.995185
12,24kGoldn,7152650,119.21083333333333,1.9868472222222222
1388,SG Lewis,7142812,119.04686666666667,1.9841144444444445
816,Kalan.FrFr,7130991,118.84985,1.9808308333333333
1535,T.I.,6865381,114.42301666666667,1.9070502777777778
1725,Vory,6849683,114.16138333333333,1.9026897222222223
35,A$AP NAST,6669346,111.15576666666666,1.852596111111111
681,JID,6338490,105.6415,1.7606916666666665
1553,Tai Verdes,6290592,104.8432,1.7473866666666666
238,Bryce Vine,6165730,102.76216666666667,1.712702777777778
1595,The Game,6137702,102.29503333333334,1.7049172222222222
1675,Travis Scott,6060557,101.00928333333333,1.6834880555555556
1255,Pharrell Williams,6042647,100.71078333333334,1.6785130555555556
1679,Trinidad James,6031077,100.51795,1.6752991666666666
147,Bandman Kevo,6000902,100.01503333333334,1.6669172222222222
459,E-40,5963513,99.39188333333334,1.656531388888889
851,Khalid,5818820,96.98033333333333,1.616338888888889
667,Isaiah Rashad,5784559,96.40931666666667,1.6068219444444445
1375,Rucci,5761933,96.03221666666667,1.6005369444444446
1709,Vance Joy,5750752,95.84586666666667,1.597431111111111
515,Fantasy Footballers - Fantasy Football Podcast,5704226,95.07043333333333,1.584507222222222
859,Kid Ink,5661680,94.36133333333333,1.5726888888888888
1570,Tee Grizzley,5639938,93.99896666666666,1.5666494444444443
807,KAYTRANADA,5601894,93.3649,1.5560816666666668
1677,Trey Songz,5566161,92.76935,1.5461558333333334
758,Joey Bada$$,5546418,92.4403,1.5406716666666667
609,H.E.R.,5524044,92.0674,1.5344566666666668
244,Burna Boy,5491164,91.5194,1.5253233333333334
771,Johnny 2 Phones,5485543,91.42571666666667,1.5237619444444446
25,777villain,5411974,90.19956666666667,1.5033261111111111
1299,Pusha T,5388827,89.81378333333333,1.4968963888888889
510,Fabolous,5360063,89.33438333333334,1.488906388888889
1237,Patrick Cc:,5250770,87.51283333333333,1.4585472222222222
790,Juice WRLD,5247621,87.46035,1.4576725000000001
1819,Zedd,5208664,86.81106666666666,1.446851111111111
1810,Yung Bleu,5208332,86.80553333333333,1.446758888888889
44,ASTN,5055894,84.2649,1.404415
711,Jamie xx,5053924,84.23206666666667,1.4038677777777777
931,Lil Durk,5024925,83.74875,1.3958125000000001
181,Beyoncé,4902984,81.7164,1.36194
876,Kodak Black,4859716,80.99526666666667,1.3499211111111111
565,French Montana,4803592,80.05986666666666,1.3343311111111111
1769,XXXTENTACION,4791503,79.85838333333334,1.3309730555555557
126,BTS,4775498,79.59163333333333,1.3265272222222222
1131,NLE Choppa,4749035,79.15058333333333,1.3191763888888888
1734,Wafia,4746852,79.1142,1.31857
1355,Rich The Kid,4674528,77.9088,1.29848
287,Cautious Clay,4663458,77.7243,1.295405
81,Aminé,4575409,76.25681666666667,1.2709469444444443
1477,Smino,4530592,75.50986666666667,1.2584977777777777
802,K CAMP,4517752,75.29586666666667,1.2549311111111112
50,Abe Parker,4505756,75.09593333333333,1.251598888888889
735,Jeremih,4432673,73.87788333333333,1.2312980555555555
1078,Migos,4409660,73.49433333333333,1.2249055555555555
466,"Earth, Wind & Fire",4390960,73.18266666666666,1.219711111111111
1703,Usher,4390067,73.16778333333333,1.2194630555555555
935,Lil Jon,4385388,73.0898,1.2181633333333333
125,BROCKHAMPTON,4377512,72.95853333333334,1.2159755555555556
400,Deepend,4297210,71.62016666666666,1.1936694444444444
151,Bas,4222001,70.36668333333333,1.1727780555555554
