,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName
0,0.566,0.693,10,-6.917,0,0.368,0.361,0.0,0.0806,0.838,78.743,audio_features,6UF1vUIoLleFrhcxg2L26V,spotify:track:6UF1vUIoLleFrhcxg2L26V,https://api.spotify.com/v1/tracks/6UF1vUIoLleFrhcxg2L26V,https://api.spotify.com/v1/audio-analysis/6UF1vUIoLleFrhcxg2L26V,213851,4,Make the Most (feat. H.E.R.)
0,0.575,0.609,5,-4.88,0,0.121,0.317,0.0,0.105,0.339,83.004,audio_features,7E2C5rBLpCKwQlhJPVFBRS,spotify:track:7E2C5rBLpCKwQlhJPVFBRS,https://api.spotify.com/v1/tracks/7E2C5rBLpCKwQlhJPVFBRS,https://api.spotify.com/v1/audio-analysis/7E2C5rBLpCKwQlhJPVFBRS,226220,4,You’re Mines Still (feat. Drake)
0,0.818,0.584,11,-3.635,1,0.16,0.219,0.0,0.0795,0.888,79.98,audio_features,3k2siE5234rEIV52ltcIYY,spotify:track:3k2siE5234rEIV52ltcIYY,https://api.spotify.com/v1/tracks/3k2siE5234rEIV52ltcIYY,https://api.spotify.com/v1/audio-analysis/3k2siE5234rEIV52ltcIYY,233117,4,Face It
0,0.393,0.724,4,-5.54,1,0.0825,0.0676,0.0,0.205,0.147,89.684,audio_features,0kUz4NuENHYVUChlthlNaB,spotify:track:0kUz4NuENHYVUChlthlNaB,https://api.spotify.com/v1/tracks/0kUz4NuENHYVUChlthlNaB,https://api.spotify.com/v1/audio-analysis/0kUz4NuENHYVUChlthlNaB,196874,5,The Best Part of Life
0,0.809,0.654,1,-5.495,0,0.186,0.568,0.0,0.0676,0.459,101.081,audio_features,5FWVkOvM9A4EUqxFRJ2A1U,spotify:track:5FWVkOvM9A4EUqxFRJ2A1U,https://api.spotify.com/v1/tracks/5FWVkOvM9A4EUqxFRJ2A1U,https://api.spotify.com/v1/audio-analysis/5FWVkOvM9A4EUqxFRJ2A1U,123845,4,Forever Humble
0,0.708,0.654,5,-6.76,0,0.369,0.0556,0.0,0.208,0.697,168.032,audio_features,1aMokXl3uKDvCh4BBcjFOA,spotify:track:1aMokXl3uKDvCh4BBcjFOA,https://api.spotify.com/v1/tracks/1aMokXl3uKDvCh4BBcjFOA,https://api.spotify.com/v1/audio-analysis/1aMokXl3uKDvCh4BBcjFOA,185746,4,Lil Top
0,0.836,0.579,9,-6.164,1,0.243,0.00207,0.0,0.11,0.431,85.486,audio_features,3JAeYOjyJodI4PRs44lx2l,spotify:track:3JAeYOjyJodI4PRs44lx2l,https://api.spotify.com/v1/tracks/3JAeYOjyJodI4PRs44lx2l,https://api.spotify.com/v1/audio-analysis/3JAeYOjyJodI4PRs44lx2l,213358,4,Off Deez (with J. Cole)
0,0.874,0.58,9,-6.164,1,0.215,0.0021,0.0,0.11,0.434,85.5,audio_features,7hmAf3bxD3xRGj9pShrLlT,spotify:track:7hmAf3bxD3xRGj9pShrLlT,https://api.spotify.com/v1/tracks/7hmAf3bxD3xRGj9pShrLlT,https://api.spotify.com/v1/audio-analysis/7hmAf3bxD3xRGj9pShrLlT,213358,4,Off Deez (with J. Cole)
0,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,audio_features,7ge7BHazYbVKi8qyZUX1Bm,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/tracks/7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/audio-analysis/7ge7BHazYbVKi8qyZUX1Bm,197530,4,Emotionally Scarred
0,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,audio_features,5LDs1JQo0frXXFPTDZ7WBg,spotify:track:5LDs1JQo0frXXFPTDZ7WBg,https://api.spotify.com/v1/tracks/5LDs1JQo0frXXFPTDZ7WBg,https://api.spotify.com/v1/audio-analysis/5LDs1JQo0frXXFPTDZ7WBg,197530,4,Emotionally Scarred
0,0.617,0.953,2,-4.162,1,0.0693,0.119,0.0,0.331,0.594,154.964,audio_features,1KjQPDJQCUuqDj3AmfSBCa,spotify:track:1KjQPDJQCUuqDj3AmfSBCa,https://api.spotify.com/v1/tracks/1KjQPDJQCUuqDj3AmfSBCa,https://api.spotify.com/v1/audio-analysis/1KjQPDJQCUuqDj3AmfSBCa,192200,4,CAPO
