,albumName,artistName,trackName,trackUri,uri
track,ASTROWORLD,Travis Scott,YOSEMITE,spotify:track:7lAK3oHbfEnvUQWosrMMpR,
track,ONEPOINTFIVE,Aminé,RATCHET SATURN GIRL,spotify:track:2q4F6OpQgx9umNB9uGFPYo,
track,ONEPOINTFIVE,Aminé,CHINGY,spotify:track:5KpUzmHFirESqWjCrXnmWS,
track,Kamikaze,Eminem,Lucky You (feat. Joyner Lucas),spotify:track:60SdxE8apGAxMiRrpbmLY0,
track,Kamikaze,Eminem,The Ringer,spotify:track:2jt2WxXMCD4zjACthkJQVE,
track,Kamikaze,Eminem,Greatest,spotify:track:2XTquzYQAdT1Hk78bOUwsv,
track,Watery,SahBabii,Watery,spotify:track:6abXrCXna2s2lOpi89ejdN,
track,Teenage Emotions,Lil Yachty,Better,spotify:track:49EgauTc1cGkHwPGCaHh1f,
track,Outstanding (feat. 21 Savage),SahBabii,Outstanding (feat. 21 Savage),spotify:track:24W9LlHIfhALtn33zBnnQr,
track,Trap Still Boomin' 3,Travis Scott,Sky Fall,spotify:track:7p7pzSVr2zovan3m1m5hFm,
track,Die Lit,Playboi Carti,Shoota (feat. Lil Uzi Vert),spotify:track:2BJSMvOGABRxokHKB0OI8i,
track,Trap Season,Young Thugga,Drunk,spotify:track:3IEf62IyonpO3GP9rH6FrK,
track,The Return of East Atlanta Santa,Gucci Mane,Both (feat. Drake),spotify:track:5tFep7dXGd7vEJ668wTPux,
track,ShorelineDoThatShit,Shoreline Mafia,Spaceship (feat. Stinc Team),spotify:track:2pSIidzM5BAP4KkdGhqb6o,
track,Legends of the Summer,Meek Mill,Millidelphia (feat. Swizz Beatz),spotify:track:1dQ84P0W0lOckT02lPEhhP,
track,Big Homie Flocka,Waka Flocka Flame,I Don't Need Ya (feat. Skippa Da Flippa & Sancho),spotify:track:3W4B69HN0YEopiISW9ny27,
track,Alone Together,Skizzy Mars,Give up on Me,spotify:track:30pDjS9dWjzGHDWaps25p5,
track,Morning Dew,Matt Quentin,Morning Dew,spotify:track:32gaGfRgDMrMtcpCqF078U,
track,In the Moment - EP,Silo,In the Moment,spotify:track:31htr8LdFPA4EcpIynnWgf,
track,Life Of A Hot Boy 2 : Real Trapper,Bankroll Fresh,Walked In,spotify:track:252gJUec2oDsGBPcxZs4nX,
track,Go,Mario,How Do I Breathe,spotify:track:1o0VqR64M85KKmWxz4JEGW,
track,Best Night Of My Life,Jamie Foxx,15 Minutes,spotify:track:4bP2tfRzaTCNvQwpNGNIk3,
track,Dessert,Dawin,Dessert,spotify:track:1tYt8PbpbeTuqsNmprAZYY,
track,Fuk Wat They Talkin Bout,Tyga,Stimulated,spotify:track:3vWtNiug49addenxdTmDXf,
track,Hellen Keller (feat. Loverance),Phanom,Hellen Keller (feat. Loverance),spotify:track:3Ee8C4tyLom24Jse98auzk,
track,Numb,August Alsina,Numb,spotify:track:4rYgV3xc1LGCXn0sLkkANE,
track,MKTO,MKTO,Heartbreak Holiday,spotify:track:67XBkbhYWlYwJgGLeVk3hH,
track,Dreams Worth More Than Money,Meek Mill,R.I.C.O. (feat. Drake),spotify:track:0Y0TOsE1q11qgbi7c5WZsG,
track,"Do What I Want (feat. IAMSU!, K CAMP & RJ)",DJ Carisma,Do What I Want,spotify:track:7uAmntxcaBcReBiu251h6J,
track,"Bang 3, Pt. 2",Chief Keef,It's More,spotify:track:5u0Mkdt3YwxSaYaEB8XfE9,
track,Relief,mike.,Thank You,spotify:track:0TGhIWoWgjiQAdlnaIDi53,
track,Ned Flanders (feat. A$AP Ferg),MadeinTYO,Ned Flanders (feat. A$AP Ferg),spotify:track:6f5i916F3jU6BhOOD7iGqf,
