,index,artistName,size
0,1148,Young Thug,116
1,207,Chris Brown,88
2,293,Drake,87
3,546,Kanye West,80
4,1130,YG,76
5,1081,Ty Dolla $ign,60
6,525,Juice WRLD,54
7,711,Meek Mill,52
8,196,Chance the Rapper,51
9,362,Future,50
10,1082,Tyga,50
11,1065,Tory Lanez,49
12,1071,Travis Scott,48
13,847,Post Malone,48
14,250,DaBaby,47
15,137,Blxst,45
16,845,Pop Smoke,44
17,983,T-Pain,42
18,55,Aminé,41
19,893,Roddy Ricch,40
20,119,Big Sean,39
21,1090,Usher,38
22,583,Kodak Black,38
23,439,J. Cole,38
24,629,Lil Uzi Vert,38
25,572,Kid Ink,35
26,720,Migos,35
27,630,Lil Wayne,35
28,1073,Trey Songz,35
29,626,Lil Tecca,35
30,859,Quinn XCII,33
31,44,Akon,33
32,843,PnB Rock,33
33,882,Rich The Kid,32
34,228,Cordae,31
35,179,Calvin Harris,30
36,744,Mustard,29
37,510,John Mayer,29
38,759,Ne-Yo,29
39,24,A Boogie Wit da Hoodie,29
40,625,Lil Skies,29
41,613,Lil Baby,29
42,29,A$AP Rocky,28
43,79,BROCKHAMPTON,28
44,840,Playboi Carti,27
45,351,Flo Rida,25
46,1054,Tom Misch,25
47,807,Owl City,24
48,1126,XXXTENTACION,24
49,483,Jeremih,24
50,885,Rihanna,24
51,985,T.I.,24
52,1151,YoungBoy Never Broke Again,24
53,391,Gunna,24
54,867,Rae Sremmurd,24
55,334,Fabolous,24
56,569,Khalid,24
57,748,NAV,23
58,699,Masego,23
59,621,Lil Mosey,23
60,763,Nelly,23
61,342,Fetty Wap,22
62,553,Katy Perry,22
63,1095,Vance Joy,22
64,1123,Wiz Khalifa,22
65,8,21 Savage,22
66,68,August Alsina,22
67,163,Bruno Mars,21
68,898,Russ,21
69,365,G-Eazy,20
70,881,Rich Homie Quan,20
71,264,David Guetta,20
72,433,Internet Money,20
73,751,NLE Choppa,20
74,559,Kendrick Lamar,19
75,1112,Wale,19
76,323,Eminem,19
77,736,Mozzy,19
78,1018,The Game,19
79,627,Lil Tjay,18
80,6,2 Chainz,18
81,1139,Yo Gotti,18
82,356,Frank Ocean,18
83,18,6LACK,18
84,470,Jason Derulo,18
85,1047,Timbaland,18
86,673,MadeinTYO,17
87,19,6ix9ine,17
88,85,Baby Keem,17
89,336,Famous Dex,17
90,1084,"Tyler, The Creator",17
91,350,Flipp Dinero,16
92,1003,Tee Grizzley,16
93,456,Jacquees,16
94,836,Pitbull,16
95,26,A$AP Ferg,16
96,639,Logic,16
97,767,New Boyz,16
98,17,50 Cent,16
99,532,K CAMP,15
100,82,Baby Bash,15
101,796,Offset,15
102,75,B.o.B,15
103,587,Kota the Friend,15
104,358,French Montana,15
105,879,Rich Brian,15
106,1129,YFN Lucci,14
107,920,ScHoolboy Q,14
108,204,Childish Gambino,14
109,972,Still Woozy,14
110,948,Skizzy Mars,14
111,633,Lil Yachty,14
112,856,Quality Control,14
113,243,DJ Khaled,14
114,803,OneRepublic,14
115,434,Isaiah Rashad,13
116,131,Black Eyed Peas,13
117,327,Eric Bellinger,13
118,977,Surfaces,13
119,1024,The Kid LAROI,13
120,1075,Trippie Redd,13
121,877,Rexx Life Raj,13
122,668,Mac Miller,13
123,1102,Vince Staples,13
124,162,Bruno Major,12
125,538,KYLE,12
126,896,Roy Woods,12
127,258,Daniel Caesar,12
128,870,Ray J,12
129,390,Gucci Mane,12
130,165,Bryson Tiller,12
131,177,Caleborate,12
132,451,Jack Harlow,12
133,1070,Travis Porter,12
134,304,E-40,12
135,1155,Yung Bleu,11
136,774,Nicki Minaj,11
137,288,Don Toliver,11
138,687,Mariah Carey,11
139,624,Lil Pump,11
140,844,Polo G,11
141,1132,YNW Melly,11
142,285,Dominic Fike,11
143,1092,VIC MENSA,11
144,1111,Waka Flocka Flame,11
145,266,DeJ Loaf,11
146,907,Saba,11
147,692,Maroon 5,11
148,59,Anderson .Paak,11
149,136,Blueface,11
150,901,SAINt JHN,10
151,636,Linkin Park,10
152,295,Dreamville,10
153,564,Kevin Gates,10
154,115,Beyoncé,10
155,471,Jason Mraz,10
156,446,JAY-Z,10
157,561,Keri Hilson,10
158,222,Coldplay,10
159,379,GoldLink,10
160,529,Justin Bieber,10
161,341,Fergie,10
162,615,Lil Durk,10
163,452,Jack Johnson,10
