,artists,num_unique_songs
49,Drake,40
53,Kanye West,38
46,Young Thug,37
33,YG,33
99,Chris Brown,33
133,Future,25
144,Ty Dolla $ign,24
18,Tyga,23
786,Blxst,23
171,Tory Lanez,22
140,Juice WRLD,22
64,Big Sean,21
136,Roddy Ricch,20
44,Post Malone,20
463,Pop Smoke,20
265,Kid Ink,20
101,Lil Wayne,19
360,John Mayer,19
73,A Boogie Wit da Hoodie,18
271,Lil Tecca,18
9,Meek Mill,18
92,T-Pain,17
1,Aminé,16
43,J. Cole,16
40,Rich The Kid,16
98,Rihanna,16
243,Chance the Rapper,16
186,Quinn XCII,16
76,Kota the Friend,15
268,DaBaby,15
30,Lil Uzi Vert,15
216,NAV,15
336,Calvin Harris,15
86,Usher,14
91,Akon,14
0,Travis Scott,14
28,Cordae,13
129,YoungBoy Never Broke Again,13
35,A$AP Rocky,13
34,Lil Baby,13
32,Migos,13
72,Khalid,13
183,PnB Rock,13
2,Eminem,13
51,Kendrick Lamar,12
66,Owl City,12
120,Gunna,12
230,Tom Misch,12
769,Mozzy,12
149,BROCKHAMPTON,12
152,Rexx Life Raj,12
348,Internet Money,12
107,Fabolous,12
81,Trey Songz,12
387,Flo Rida,12
37,Kodak Black,12
125,21 Savage,11
307,Fetty Wap,11
313,Rae Sremmurd,11
121,Lil Skies,11
261,Rich Brian,11
20,August Alsina,11
341,Bruno Mars,11
386,Katy Perry,11
545,Vance Joy,11
124,Mustard,10
259,Russ,10
878,Linkin Park,10
182,Wiz Khalifa,10
148,Masego,10
388,Jason Derulo,10
127,Polo G,9
843,Black Eyed Peas,9
88,Ne-Yo,9
170,Lil Mosey,9
996,Michael Jackson,9
294,YFN Lucci,9
11,Skizzy Mars,9
683,Baby Keem,9
459,Still Woozy,9
255,Jeremih,9
427,Pitbull,9
123,Lil Tjay,9
412,Yung Bleu,9
279,"Tyler, The Creator",9
214,G-Eazy,8
286,Mac Miller,8
210,Tee Grizzley,8
181,XXXTENTACION,8
211,T.I.,8
256,Quality Control,8
180,Rich Homie Quan,8
738,Timbaland,8
282,DJ Khaled,8
36,Famous Dex,8
342,Jacquees,8
393,Justin Bieber,8
685,JAY-Z,8
456,Surfaces,8
58,The Game,8
419,David Guetta,8
212,2 Chainz,7
69,6LACK,7
52,Eric Bellinger,7
434,Justin Timberlake,7
151,Isaiah Rashad,7
25,MadeinTYO,7
63,Logic,7
228,Bruno Major,7
141,6ix9ine,7
217,Daniel Caesar,7
773,Dominic Fike,7
524,Maroon 5,7
247,Childish Gambino,7
56,E-40,7
5,Playboi Carti,7
47,Yo Gotti,7
150,Frank Ocean,7
270,NLE Choppa,7
305,B.o.B,7
859,Beyoncé,7
172,Trippie Redd,7
541,Coldplay,7
79,Nelly,7
104,Wale,7
175,Lil Durk,7
300,Don Toliver,7
74,K CAMP,7
358,OneRepublic,7
301,ScHoolboy Q,7
176,SAINt JHN,7
87,50 Cent,6
4,Lil Yachty,6
48,French Montana,6
232,Jack Johnson,6
50,A$AP Ferg,6
525,Ed Sheeran,6
688,The Kid LAROI,6
29,Vince Staples,6
7,Gucci Mane,6
8,Shoreline Mafia,6
1143,Lady Gaga,6
649,Problem,6
128,YNW Melly,6
126,Blueface,6
439,KYLE,6
409,Shallou,6
160,Jack Harlow,6
193,Lauv,5
568,Hippo Campus,5
578,Clean Bandit,5
258,Miguel,5
648,Jeezy,5
527,Sam Smith,5
824,One Direction,5
226,PARTYNEXTDOOR,5
777,$tupid Young,5
339,VIC MENSA,5
497,Yiruma,5
440,Zedd,5
275,Dreamville,5
400,John Legend,5
295,Joyner Lucas,5
372,Fergie,5
329,Sean Kingston,5
752,Rod Wave,5
716,Higher Brothers,5
316,Nicki Minaj,5
403,William Singe,5
145,Saba,5
10,Waka Flocka Flame,5
114,Mariah Carey,5
118,New Boyz,5
84,Baby Bash,5
164,Billie Eilish,5
159,Caleborate,5
26,Flipp Dinero,5
161,GoldLink,5
146,Smino,5
70,Bas,4
860,Kelly Clarkson,4
370,Green Day,4
611,Major Lazer,4
746,Tyla Yaweh,4
208,Metro Boomin,4
378,Simple Plan,4
511,Jonas Blue,4
531,Jason Mraz,4
306,Omarion,4
530,James Bay,4
290,Nebu Kiniza,4
1088,Nic D,4
42,Offset,4
717,Jay Park,4
989,Nelly Furtado,4
340,Twenty One Pilots,4
891,Fort Minor,4
334,Pusha T,4
705,The Chainsmokers,4
496,Idealism,4
204,gianni & kyle,4
1144,P!nk,4
469,Machine Gun Kelly,4
276,YK Osiris,4
1040,ShooterGang Kony,4
410,Marc E. Bassy,4
77,Yung Bans,4
3,SahBabii,4
454,FKJ,4
184,Jeremy Zucker,4
402,Ciara,4
635,potsu,4
395,Mike Posner,4
464,Lil Pump,4
82,Bow Wow,4
483,Rex Orange County,4
489,BJ The Chicago Kid,4
922,Lorde,3
280,J Balvin,3
321,Kevin Gates,3
581,The Lumineers,3
627,Tomppabeats,3
319,O.T. Genasis,3
277,Ski Mask The Slump God,3
38,SOB X RBE,3
288,SiR,3
937,Juke Ross,3
589,Snoop Dogg,3
1101,Emotional Oranges,3
424,Fat Joe,3
602,H.E.R.,3
311,DeJ Loaf,3
296,Dame D.O.L.L.A,3
592,Outkast,3
953,Young Stoner Life,3
618,Elijah Who,3
302,Shy Glizzy,3
284,Shordie Shordie,3
285,EARTHGANG,3
322,The Weeknd,3
526,Passenger,3
325,Casey Veggies,3
327,Travis Porter,3
68,THEY.,3
441,Don Omar,3
445,Enrique Iglesias,3
75,Lil Xan,3
405,Juicy J,3
465,Cardi B,3
80,Lloyd,3
391,Kesha,3
390,Jay Sean,3
384,Hot Chelle Rae,3
383,Gym Class Heroes,3
381,Gavin DeGraw,3
1072,San Holo,3
377,Red Hot Chili Peppers,3
376,Taylor Swift,3
373,Colbie Caillat,3
502,Frédéric Chopin,3
371,The All-American Rejects,3
1006,Bon Jovi,3
364,The Fray,3
357,Lupe Fiasco,3
664,Snakehips,3
529,Adele,3
535,A$AP Mob,3
540,The Script,3
94,Alicia Keys,3
41,Denzel Curry,3
567,Train,3
331,Lil Dicky,3
661,Ace Hood,3
488,Nohidea,3
189,Marshmello,3
723,Jay Chou,3
837,Sage The Gemini,3
759,Swae Lee,3
253,Jonn Hart,3
876,blink-182,3
252,Bryson Tiller,3
857,Taio Cruz,3
1151,will.i.am,3
250,Kirko Bangz,3
691,WALK THE MOON,3
248,Nico Segal,3
692,Bad Suns,3
246,Shawn Mendes,3
881,Jimmy Eat World,3
768,24kGoldn,3
157,Buddy,3
194,Bryce Vine,3
196,Kid Cudi,3
756,Bankrol Hayden,3
703,Ariana Grande,3
844,LMFAO,3
760,Guapdad 4000,3
719,TAEYANG,3
254,Roy Woods,3
668,Timeflies,3
260,88GLAM,3
862,Britney Spears,3
1137,Iyaz,3
1118,Luke Bryan,3
173,Anderson .Paak,3
16,Jamie Foxx,3
165,Jay Prince,3
1117,Jason Aldean,3
167,Pivot Gang,3
130,JID,3
