,trackName,uri
0,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A
1,Dark Red,spotify:track:3EaJDYHA0KnX88JvDhL9oa
2,Lost,spotify:track:3GZD6HmiNUhxXYf8Gch723
3,Funny Thing,spotify:track:1c5CllrZr45UBhWpIqM332
4,I Hate U,spotify:track:5dXWFMwD7I7zXsInONVl0H
5,Pink + White,spotify:track:3xKsf9qdS1CyvXSMEid6g8
6,Love Is Only a Feeling,spotify:track:7umZiitjVsEjMQ6HNddpUI
7,Ivy,spotify:track:2ZWlPOoWh0626oTaHrnl2a
8,Sundress,spotify:track:2aPTvyE09vUCRwVvj0I8WK
9,White Ferrari,spotify:track:2LMkwUfqC6S6s6qDVlEuzV
10,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",spotify:track:5oady7OSE7dH7LHiqmb3Cr
11,Novacane,spotify:track:4osgfFTICMkcGbbigdsa53
12,Super Rich Kids,spotify:track:0725YWm6Z0TpZ6wrNk64Eb
13,Strawberry Skies,spotify:track:458EaCXcB9TRBoJEDVcdcr
14,DEVASTATED,spotify:track:4PnNzWe1LJoAMD5j5RHpI0
