,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,1,2,3,4,trackName
0,0.619,0.837,11,-7.665,0.0573,0.0356,0.0,0.119,0.471,131.896,1,0,0,0,Last Kiss Of Nebulon
0,0.676,0.659,11,-5.123,0.0476,0.194,0.0,0.283,0.595,134.985,1,0,0,0,Lady Of Namek
0,0.607,0.735,4,-6.065,0.095,0.253,0.0,0.11,0.964,88.894,1,0,0,0,Lavender Sunflower
0,0.645,0.534,6,-10.8,0.0479,0.157,0.0,0.0863,0.463,105.02,1,0,0,0,The Color Violet
0,0.806,0.557,9,-6.007,0.0767,0.184,0.0,0.168,0.815,113.033,1,0,0,0,Right Track (feat. Smino)
0,0.701,0.782,1,-4.987,0.138,0.0918,2.31e-06,0.124,0.57,94.03,1,0,0,0,16
0,0.763,0.667,2,-6.285,0.085,0.021,2.4e-05,0.0715,0.75,95.864,1,0,0,0,Stars Align (with Drake)
0,0.569,0.657,0,-6.639,0.0425,0.108,0.0,0.108,0.111,73.008,1,0,0,0,3AM
0,0.622,0.501,0,-7.325,0.0816,0.783,3.77e-06,0.301,0.512,81.478,1,0,0,0,Crossfaded
0,0.602,0.824,0,-4.087,0.0547,0.0867,0.0,0.0947,0.442,125.147,1,0,0,0,U Are My High (with Future)
0,0.849,0.699,4,-5.193,0.0574,0.185,0.00118,0.0954,0.0778,100.989,1,0,0,0,Guatemala - From Swaecation
0,0.59,0.598,7,-7.153,0.609,0.0697,0.0,0.112,0.34,156.073,1,0,0,0,Love... (Her Fault) [feat. Bryson Tiller]
0,0.685,0.572,0,-5.685,0.147,0.11,0.0,0.183,0.275,117.336,1,0,0,0,7:00
0,0.714,0.582,5,-7.272,0.0808,0.0129,0.0,0.0774,0.338,92.819,1,0,0,0,Outta Time (feat. Drake)
0,0.5,0.515,7,-8.283,0.31,0.442,0.00018,0.0681,0.566,85.173,1,0,0,0,Score (feat. SZA & 6LACK)
